aegis_path,subsystem,aegis_lines,reference_counterpart,reference_lines,match_reason,parity_action
aegis/ambient.py,runtime-other,147,,,no close reference path by simple scan,Decide if this remains AEGIS-specific or add parity equivalent/tests.
aegis/automation.py,runtime-other,90,,,no close reference path by simple scan,Decide if this remains AEGIS-specific or add parity equivalent/tests.
aegis/auxiliary.py,runtime-other,104,,,no close reference path by simple scan,Decide if this remains AEGIS-specific or add parity equivalent/tests.
aegis/background.py,runtime-other,605,tools/delegate_tool.py async children + process registry + /background,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/backup.py,runtime-other,198,aegis_cli/backup.py,1343,same basename,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/bench.py,runtime-other,243,batch_runner.py + benchmark scripts,,manual architecture map,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/browser_connect.py,runtime-other,270,aegis_cli/browser_connect.py,218,same basename,"Align behavior contract, add parity tests, expose status in dashboard/docs."
aegis/builtin_skills/accessibility-audit/SKILL.md,skills-bundled,45,optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md,242,same filename in AEGIS skills tree,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/api-design/SKILL.md,skills-bundled,53,optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md,242,same filename in AEGIS skills tree,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/changelog-release/SKILL.md,skills-bundled,46,optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md,242,same filename in AEGIS skills tree,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/code-review/SKILL.md,skills-bundled,29,optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md,242,same filename in AEGIS skills tree,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/codebase-onboarding/SKILL.md,skills-bundled,47,optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md,242,same filename in AEGIS skills tree,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/coding-agent/SKILL.md,skills-bundled,33,optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md,242,same filename in AEGIS skills tree,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/commit/SKILL.md,skills-bundled,28,optional-skills/autonomous-ai-agents/antigravity-cli/SKILL.md,242,same filename in AEGIS skills tree,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/DESCRIPTION.md,skills-bundled,3,skills/creative/DESCRIPTION.md,4,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/architecture-diagram/SKILL.md,skills-bundled,148,skills/creative/architecture-diagram/SKILL.md,149,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/architecture-diagram/templates/template.html,skills-bundled,319,skills/creative/architecture-diagram/templates/template.html,320,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-art/SKILL.md,skills-bundled,322,skills/creative/ascii-art/SKILL.md,323,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/README.md,skills-bundled,290,skills/creative/ascii-video/README.md,291,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/SKILL.md,skills-bundled,241,skills/creative/ascii-video/SKILL.md,242,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/architecture.md,skills-bundled,802,skills/creative/ascii-video/references/architecture.md,803,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/composition.md,skills-bundled,892,skills/creative/ascii-video/references/composition.md,893,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/effects.md,skills-bundled,1865,skills/creative/ascii-video/references/effects.md,1866,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/inputs.md,skills-bundled,685,skills/creative/ascii-video/references/inputs.md,686,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/optimization.md,skills-bundled,688,skills/creative/ascii-video/references/optimization.md,689,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/scenes.md,skills-bundled,1011,skills/creative/ascii-video/references/scenes.md,1012,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/shaders.md,skills-bundled,1385,skills/creative/ascii-video/references/shaders.md,1386,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/ascii-video/references/troubleshooting.md,skills-bundled,367,skills/creative/ascii-video/references/troubleshooting.md,368,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/PORT_NOTES.md,skills-bundled,43,skills/creative/baoyu-infographic/PORT_NOTES.md,44,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/SKILL.md,skills-bundled,237,skills/creative/baoyu-infographic/SKILL.md,238,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/analysis-framework.md,skills-bundled,182,skills/creative/baoyu-infographic/references/analysis-framework.md,183,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/base-prompt.md,skills-bundled,43,skills/creative/baoyu-infographic/references/base-prompt.md,44,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/bento-grid.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/bento-grid.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/binary-comparison.md,skills-bundled,48,skills/creative/baoyu-infographic/references/layouts/binary-comparison.md,49,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/bridge.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/bridge.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/circular-flow.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/circular-flow.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/comic-strip.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/comic-strip.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/comparison-matrix.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/comparison-matrix.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/dashboard.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/dashboard.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/dense-modules.md,skills-bundled,72,skills/creative/baoyu-infographic/references/layouts/dense-modules.md,73,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/funnel.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/funnel.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/hierarchical-layers.md,skills-bundled,48,skills/creative/baoyu-infographic/references/layouts/hierarchical-layers.md,49,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/hub-spoke.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/hub-spoke.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/iceberg.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/iceberg.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/isometric-map.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/isometric-map.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/jigsaw.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/jigsaw.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/linear-progression.md,skills-bundled,48,skills/creative/baoyu-infographic/references/layouts/linear-progression.md,49,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/periodic-table.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/periodic-table.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/story-mountain.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/story-mountain.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/structural-breakdown.md,skills-bundled,48,skills/creative/baoyu-infographic/references/layouts/structural-breakdown.md,49,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/tree-branching.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/tree-branching.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/venn-diagram.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/venn-diagram.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/winding-roadmap.md,skills-bundled,41,skills/creative/baoyu-infographic/references/layouts/winding-roadmap.md,42,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/structured-content-template.md,skills-bundled,244,skills/creative/baoyu-infographic/references/structured-content-template.md,245,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/aged-academia.md,skills-bundled,36,skills/creative/baoyu-infographic/references/styles/aged-academia.md,37,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/bold-graphic.md,skills-bundled,36,skills/creative/baoyu-infographic/references/styles/bold-graphic.md,37,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/chalkboard.md,skills-bundled,61,skills/creative/baoyu-infographic/references/styles/chalkboard.md,62,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/claymation.md,skills-bundled,29,skills/creative/baoyu-infographic/references/styles/claymation.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/corporate-memphis.md,skills-bundled,29,skills/creative/baoyu-infographic/references/styles/corporate-memphis.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/craft-handmade.md,skills-bundled,44,skills/creative/baoyu-infographic/references/styles/craft-handmade.md,45,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/cyberpunk-neon.md,skills-bundled,29,skills/creative/baoyu-infographic/references/styles/cyberpunk-neon.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/hand-drawn-edu.md,skills-bundled,63,skills/creative/baoyu-infographic/references/styles/hand-drawn-edu.md,64,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/ikea-manual.md,skills-bundled,29,skills/creative/baoyu-infographic/references/styles/ikea-manual.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/kawaii.md,skills-bundled,29,skills/creative/baoyu-infographic/references/styles/kawaii.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/knolling.md,skills-bundled,29,skills/creative/baoyu-infographic/references/styles/knolling.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/lego-brick.md,skills-bundled,29,skills/creative/baoyu-infographic/references/styles/lego-brick.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/morandi-journal.md,skills-bundled,60,skills/creative/baoyu-infographic/references/styles/morandi-journal.md,61,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/origami.md,skills-bundled,29,skills/creative/baoyu-infographic/references/styles/origami.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/pixel-art.md,skills-bundled,29,skills/creative/baoyu-infographic/references/styles/pixel-art.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/pop-laboratory.md,skills-bundled,48,skills/creative/baoyu-infographic/references/styles/pop-laboratory.md,49,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/retro-pop-grid.md,skills-bundled,47,skills/creative/baoyu-infographic/references/styles/retro-pop-grid.md,48,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/storybook-watercolor.md,skills-bundled,29,skills/creative/baoyu-infographic/references/styles/storybook-watercolor.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/subway-map.md,skills-bundled,29,skills/creative/baoyu-infographic/references/styles/subway-map.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/technical-schematic.md,skills-bundled,36,skills/creative/baoyu-infographic/references/styles/technical-schematic.md,37,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/ui-wireframe.md,skills-bundled,29,skills/creative/baoyu-infographic/references/styles/ui-wireframe.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/claude-design/SKILL.md,skills-bundled,591,skills/creative/claude-design/SKILL.md,592,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/SKILL.md,skills-bundled,612,skills/creative/comfyui/SKILL.md,613,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/references/official-cli.md,skills-bundled,255,skills/creative/comfyui/references/official-cli.md,256,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/references/rest-api.md,skills-bundled,312,skills/creative/comfyui/references/rest-api.md,313,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/references/template-integrity.md,skills-bundled,243,skills/creative/comfyui/references/template-integrity.md,244,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/references/workflow-format.md,skills-bundled,226,skills/creative/comfyui/references/workflow-format.md,227,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/_common.py,skills-bundled,835,skills/creative/comfyui/scripts/_common.py,836,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/auto_fix_deps.py,skills-bundled,225,skills/creative/comfyui/scripts/auto_fix_deps.py,226,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/check_deps.py,skills-bundled,437,skills/creative/comfyui/scripts/check_deps.py,438,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/comfyui_setup.sh,skills-bundled,286,skills/creative/comfyui/scripts/comfyui_setup.sh,287,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/extract_schema.py,skills-bundled,315,skills/creative/comfyui/scripts/extract_schema.py,316,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/fetch_logs.py,skills-bundled,157,skills/creative/comfyui/scripts/fetch_logs.py,158,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/hardware_check.py,skills-bundled,497,skills/creative/comfyui/scripts/hardware_check.py,498,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/health_check.py,skills-bundled,223,skills/creative/comfyui/scripts/health_check.py,224,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/run_batch.py,skills-bundled,243,skills/creative/comfyui/scripts/run_batch.py,244,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/run_workflow.py,skills-bundled,796,skills/creative/comfyui/scripts/run_workflow.py,797,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/ws_monitor.py,skills-bundled,267,skills/creative/comfyui/scripts/ws_monitor.py,268,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/tests/README.md,skills-bundled,50,skills/creative/comfyui/tests/README.md,51,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/tests/conftest.py,skills-bundled,64,skills/creative/comfyui/tests/conftest.py,65,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/tests/test_check_deps.py,skills-bundled,68,skills/creative/comfyui/tests/test_check_deps.py,69,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/tests/test_cloud_integration.py,skills-bundled,95,skills/creative/comfyui/tests/test_cloud_integration.py,96,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/tests/test_common.py,skills-bundled,443,skills/creative/comfyui/tests/test_common.py,444,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/tests/test_extract_schema.py,skills-bundled,185,skills/creative/comfyui/tests/test_extract_schema.py,185,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/tests/test_run_workflow.py,skills-bundled,210,skills/creative/comfyui/tests/test_run_workflow.py,211,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/workflows/README.md,skills-bundled,86,skills/creative/comfyui/workflows/README.md,87,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/workflows/animatediff_video.json,skills-bundled,64,skills/creative/comfyui/workflows/animatediff_video.json,65,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/workflows/flux_dev_txt2img.json,skills-bundled,78,skills/creative/comfyui/workflows/flux_dev_txt2img.json,79,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/workflows/sd15_txt2img.json,skills-bundled,49,skills/creative/comfyui/workflows/sd15_txt2img.json,50,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/workflows/sdxl_img2img.json,skills-bundled,54,skills/creative/comfyui/workflows/sdxl_img2img.json,55,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/workflows/sdxl_inpaint.json,skills-bundled,59,skills/creative/comfyui/workflows/sdxl_inpaint.json,60,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/workflows/sdxl_txt2img.json,skills-bundled,49,skills/creative/comfyui/workflows/sdxl_txt2img.json,50,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
