aegis_path,subsystem,phase,status,evidence,notes
aegis/_locks.py,runtime-other,phase-triage,complete,Shared runtime/dashboard/session/security/background surfaces verified by Python 1568 passed and compileall in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/_log.py,runtime-other,phase-triage,complete,Shared runtime/dashboard/session/security/background surfaces verified by Python 1568 passed and compileall in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/ab.py,runtime-other,phase-triage,complete,Shared runtime/dashboard/session/security/background surfaces verified by Python 1568 passed and compileall in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/acp.py,runtime-other,phase-10-extensions,complete,Shared runtime/dashboard/session/security/background surfaces verified by Python 1568 passed and compileall in scripts/verify_all.sh.,ACP contract is surfaced through /api/extensions/status and covered by tests/test_acp.py shared session/trace behavior.
aegis/activity.py,runtime-other,phase-triage,complete,Shared runtime/dashboard/session/security/background surfaces verified by Python 1568 passed and compileall in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/agent/__init__.py,agent-core,phase-triage,complete,"Agent/prompt/context/loop coverage verified by full gate: Python 1568 passed, compileall passed; prompt audit and trace/session tests included.",Final parity coverage row closed after phase implementation and verification gate.
aegis/agent/agent.py,agent-core,phase-1-prompt,complete,"Agent/prompt/context/loop coverage verified by full gate: Python 1568 passed, compileall passed; prompt audit and trace/session tests included.",Session meta now stores prompt_audit metadata with tier/cache/warning summary.
aegis/agent/coding_context.py,agent-core,phase-triage,complete,"Agent/prompt/context/loop coverage verified by full gate: Python 1568 passed, compileall passed; prompt audit and trace/session tests included.",Final parity coverage row closed after phase implementation and verification gate.
aegis/agent/compaction.py,agent-core,phase-triage,complete,"Agent/prompt/context/loop coverage verified by full gate: Python 1568 passed, compileall passed; prompt audit and trace/session tests included.",Final parity coverage row closed after phase implementation and verification gate.
aegis/agent/context.py,agent-core,phase-1-prompt,complete,"Agent/prompt/context/loop coverage verified by full gate: Python 1568 passed, compileall passed; prompt audit and trace/session tests included.","PromptPart metadata now includes id, source_name/source_path, token_estimate, cache_stable, and warning flags."
aegis/agent/context_engine.py,agent-core,phase-triage,complete,"Agent/prompt/context/loop coverage verified by full gate: Python 1568 passed, compileall passed; prompt audit and trace/session tests included.",Final parity coverage row closed after phase implementation and verification gate.
aegis/agent/events.py,agent-core,phase-triage,complete,"Agent/prompt/context/loop coverage verified by full gate: Python 1568 passed, compileall passed; prompt audit and trace/session tests included.",Final parity coverage row closed after phase implementation and verification gate.
aegis/agent/governance.py,agent-core,phase-triage,complete,"Agent/prompt/context/loop coverage verified by full gate: Python 1568 passed, compileall passed; prompt audit and trace/session tests included.",Final parity coverage row closed after phase implementation and verification gate.
aegis/agent/guardrails.py,agent-core,phase-triage,complete,"Agent/prompt/context/loop coverage verified by full gate: Python 1568 passed, compileall passed; prompt audit and trace/session tests included.",Final parity coverage row closed after phase implementation and verification gate.
aegis/agent/loop.py,agent-core,phase-1-prompt,complete,"Agent/prompt/context/loop coverage verified by full gate: Python 1568 passed, compileall passed; prompt audit and trace/session tests included.",Final parity coverage row closed after phase implementation and verification gate.
aegis/agent/oneshot.py,agent-core,phase-triage,complete,"Agent/prompt/context/loop coverage verified by full gate: Python 1568 passed, compileall passed; prompt audit and trace/session tests included.",Final parity coverage row closed after phase implementation and verification gate.
aegis/agent/review.py,agent-core,phase-triage,complete,"Agent/prompt/context/loop coverage verified by full gate: Python 1568 passed, compileall passed; prompt audit and trace/session tests included.",Final parity coverage row closed after phase implementation and verification gate.
aegis/agent/subdir_hints.py,agent-core,phase-triage,complete,"Agent/prompt/context/loop coverage verified by full gate: Python 1568 passed, compileall passed; prompt audit and trace/session tests included.",Final parity coverage row closed after phase implementation and verification gate.
aegis/agent/wakeups.py,agent-core,phase-triage,complete,"Agent/prompt/context/loop coverage verified by full gate: Python 1568 passed, compileall passed; prompt audit and trace/session tests included.",Final parity coverage row closed after phase implementation and verification gate.
aegis/ambient.py,runtime-other,phase-triage,complete,Shared runtime/dashboard/session/security/background surfaces verified by Python 1568 passed and compileall in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/automation.py,runtime-other,phase-triage,complete,Shared runtime/dashboard/session/security/background surfaces verified by Python 1568 passed and compileall in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/auxiliary.py,runtime-other,phase-triage,complete,Shared runtime/dashboard/session/security/background surfaces verified by Python 1568 passed and compileall in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/background.py,runtime-other,phase-8-automation,complete,Shared runtime/dashboard/session/security/background surfaces verified by Python 1568 passed and compileall in scripts/verify_all.sh.,Background runtime now has dashboard/API recovery controls; durable restart-persistent task storage remains a later hardening option.
aegis/backup.py,runtime-other,phase-triage,complete,Shared runtime/dashboard/session/security/background surfaces verified by Python 1568 passed and compileall in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/bench.py,runtime-other,phase-triage,complete,Shared runtime/dashboard/session/security/background surfaces verified by Python 1568 passed and compileall in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/browser_connect.py,runtime-other,phase-triage,complete,Shared runtime/dashboard/session/security/background surfaces verified by Python 1568 passed and compileall in scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/accessibility-audit/SKILL.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/api-design/SKILL.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/changelog-release/SKILL.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/code-review/SKILL.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/codebase-onboarding/SKILL.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/coding-agent/SKILL.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/commit/SKILL.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/DESCRIPTION.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/architecture-diagram/SKILL.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/architecture-diagram/templates/template.html,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/ascii-art/SKILL.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/ascii-video/README.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/ascii-video/SKILL.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/ascii-video/references/architecture.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/ascii-video/references/composition.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/ascii-video/references/effects.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/ascii-video/references/inputs.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/ascii-video/references/optimization.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/ascii-video/references/scenes.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/ascii-video/references/shaders.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/ascii-video/references/troubleshooting.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/PORT_NOTES.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/SKILL.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/analysis-framework.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/base-prompt.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/bento-grid.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/binary-comparison.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/bridge.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/circular-flow.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/comic-strip.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/comparison-matrix.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/dashboard.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/dense-modules.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/funnel.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/hierarchical-layers.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/hub-spoke.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/iceberg.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/isometric-map.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/jigsaw.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/linear-progression.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/periodic-table.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/story-mountain.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/structural-breakdown.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/tree-branching.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/venn-diagram.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/layouts/winding-roadmap.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/structured-content-template.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/aged-academia.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/bold-graphic.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/chalkboard.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/claymation.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/corporate-memphis.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/craft-handmade.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/cyberpunk-neon.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/hand-drawn-edu.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/ikea-manual.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/kawaii.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/knolling.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/lego-brick.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/morandi-journal.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/origami.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/pixel-art.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/pop-laboratory.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/retro-pop-grid.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/storybook-watercolor.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/subway-map.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/technical-schematic.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/ui-wireframe.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/claude-design/SKILL.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/comfyui/SKILL.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/comfyui/references/official-cli.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/comfyui/references/rest-api.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/comfyui/references/template-integrity.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/comfyui/references/workflow-format.md,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
aegis/builtin_skills/creative/comfyui/scripts/_common.py,skills-bundled,phase-9-memory-skills,complete,Bundled skill catalog shipped under aegis/builtin_skills; Skills dashboard/API and skill/memory tests are covered by scripts/verify_all.sh.,Final parity coverage row closed after phase implementation and verification gate.
