aegis_path,subsystem,aegis_lines,hermes_counterpart,hermes_lines,match_reason,parity_action
aegis/builtin_skills/creative/baoyu-infographic/references/styles/aged-academia.md,skills-bundled,37,skills/creative/baoyu-infographic/references/styles/aged-academia.md,37,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/bold-graphic.md,skills-bundled,37,skills/creative/baoyu-infographic/references/styles/bold-graphic.md,37,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/chalkboard.md,skills-bundled,62,skills/creative/baoyu-infographic/references/styles/chalkboard.md,62,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/claymation.md,skills-bundled,30,skills/creative/baoyu-infographic/references/styles/claymation.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/corporate-memphis.md,skills-bundled,30,skills/creative/baoyu-infographic/references/styles/corporate-memphis.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/craft-handmade.md,skills-bundled,45,skills/creative/baoyu-infographic/references/styles/craft-handmade.md,45,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/cyberpunk-neon.md,skills-bundled,30,skills/creative/baoyu-infographic/references/styles/cyberpunk-neon.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/hand-drawn-edu.md,skills-bundled,64,skills/creative/baoyu-infographic/references/styles/hand-drawn-edu.md,64,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/ikea-manual.md,skills-bundled,30,skills/creative/baoyu-infographic/references/styles/ikea-manual.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/kawaii.md,skills-bundled,30,skills/creative/baoyu-infographic/references/styles/kawaii.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/knolling.md,skills-bundled,30,skills/creative/baoyu-infographic/references/styles/knolling.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/lego-brick.md,skills-bundled,30,skills/creative/baoyu-infographic/references/styles/lego-brick.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/morandi-journal.md,skills-bundled,61,skills/creative/baoyu-infographic/references/styles/morandi-journal.md,61,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/origami.md,skills-bundled,30,skills/creative/baoyu-infographic/references/styles/origami.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/pixel-art.md,skills-bundled,30,skills/creative/baoyu-infographic/references/styles/pixel-art.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/pop-laboratory.md,skills-bundled,49,skills/creative/baoyu-infographic/references/styles/pop-laboratory.md,49,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/retro-pop-grid.md,skills-bundled,48,skills/creative/baoyu-infographic/references/styles/retro-pop-grid.md,48,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/storybook-watercolor.md,skills-bundled,30,skills/creative/baoyu-infographic/references/styles/storybook-watercolor.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/subway-map.md,skills-bundled,30,skills/creative/baoyu-infographic/references/styles/subway-map.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/technical-schematic.md,skills-bundled,37,skills/creative/baoyu-infographic/references/styles/technical-schematic.md,37,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/baoyu-infographic/references/styles/ui-wireframe.md,skills-bundled,30,skills/creative/baoyu-infographic/references/styles/ui-wireframe.md,30,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/claude-design/SKILL.md,skills-bundled,592,skills/creative/claude-design/SKILL.md,592,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/SKILL.md,skills-bundled,613,skills/creative/comfyui/SKILL.md,613,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/references/official-cli.md,skills-bundled,256,skills/creative/comfyui/references/official-cli.md,256,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/references/rest-api.md,skills-bundled,313,skills/creative/comfyui/references/rest-api.md,313,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/references/template-integrity.md,skills-bundled,244,skills/creative/comfyui/references/template-integrity.md,244,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/references/workflow-format.md,skills-bundled,227,skills/creative/comfyui/references/workflow-format.md,227,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/_common.py,skills-bundled,836,skills/creative/comfyui/scripts/_common.py,836,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/auto_fix_deps.py,skills-bundled,226,skills/creative/comfyui/scripts/auto_fix_deps.py,226,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/check_deps.py,skills-bundled,438,skills/creative/comfyui/scripts/check_deps.py,438,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/comfyui_setup.sh,skills-bundled,287,skills/creative/comfyui/scripts/comfyui_setup.sh,287,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/extract_schema.py,skills-bundled,316,skills/creative/comfyui/scripts/extract_schema.py,316,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/fetch_logs.py,skills-bundled,158,skills/creative/comfyui/scripts/fetch_logs.py,158,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/hardware_check.py,skills-bundled,498,skills/creative/comfyui/scripts/hardware_check.py,498,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/health_check.py,skills-bundled,224,skills/creative/comfyui/scripts/health_check.py,224,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/run_batch.py,skills-bundled,244,skills/creative/comfyui/scripts/run_batch.py,244,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/run_workflow.py,skills-bundled,797,skills/creative/comfyui/scripts/run_workflow.py,797,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/scripts/ws_monitor.py,skills-bundled,268,skills/creative/comfyui/scripts/ws_monitor.py,268,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/tests/README.md,skills-bundled,51,skills/creative/comfyui/tests/README.md,51,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/tests/conftest.py,skills-bundled,65,skills/creative/comfyui/tests/conftest.py,65,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/tests/test_check_deps.py,skills-bundled,69,skills/creative/comfyui/tests/test_check_deps.py,69,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/tests/test_cloud_integration.py,skills-bundled,96,skills/creative/comfyui/tests/test_cloud_integration.py,96,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/tests/test_common.py,skills-bundled,444,skills/creative/comfyui/tests/test_common.py,444,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/tests/test_extract_schema.py,skills-bundled,186,skills/creative/comfyui/tests/test_extract_schema.py,185,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/tests/test_run_workflow.py,skills-bundled,211,skills/creative/comfyui/tests/test_run_workflow.py,211,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/workflows/README.md,skills-bundled,87,skills/creative/comfyui/workflows/README.md,87,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/workflows/animatediff_video.json,skills-bundled,65,skills/creative/comfyui/workflows/animatediff_video.json,65,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/workflows/flux_dev_txt2img.json,skills-bundled,79,skills/creative/comfyui/workflows/flux_dev_txt2img.json,79,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/workflows/sd15_txt2img.json,skills-bundled,50,skills/creative/comfyui/workflows/sd15_txt2img.json,50,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/workflows/sdxl_img2img.json,skills-bundled,55,skills/creative/comfyui/workflows/sdxl_img2img.json,55,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/workflows/sdxl_inpaint.json,skills-bundled,60,skills/creative/comfyui/workflows/sdxl_inpaint.json,60,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
aegis/builtin_skills/creative/comfyui/workflows/sdxl_txt2img.json,skills-bundled,50,skills/creative/comfyui/workflows/sdxl_txt2img.json,50,same bundled/optional skill path,Map to AEGIS bundled skill catalog; keep original if useful and validate metadata/security.
